Product Name/Symbol,Expiry Date,Open,Low LTP High,Close,Change,Change(%),ATP,Spot Price,Spot Price Date|Time,Best Buy,Best Sell,OI
Castor Seed,20-Nov-2025,"6,750.00",6714 6720 6762,"6,764.00",-44.00,-0.65,"6,734.60","6,742.55",Nov 04 2025 | 03:22 PM,"6,717.00","6,721.00","20,415"
Castor Seed,19-Dec-2025,"6,837.00",6782 6801 6837,"6,834.00",-33.00,-0.48,"6,809.66","6,742.55",Nov 04 2025 | 03:22 PM,"6,798.00","6,801.00","17,745"
Cotton Seed Oilcake,19-Dec-2025,"2,941.00",2926 2945 2952,"2,947.00",-2.00,-0.07,"2,941.57","3,238.70",Nov 04 2025 | 03:24 PM,"2,944.00","2,948.00","19,560"
Cotton Seed Oilcake,20-Jan-2026,"2,906.00",2892 2907 2909,"2,913.00",-6.00,-0.21,"2,902.33","3,238.70",Nov 04 2025 | 03:24 PM,"2,901.00","2,910.00","7,720"
Dhaniya,20-Nov-2025,"8,292.00",8246 8342 8348,"8,316.00",26.00,0.31,"8,302.25","8,155.75",Nov 04 2025 | 03:33 PM,"8,340.00","8,348.00","9,540"
Dhaniya,19-Dec-2025,"8,330.00",8300 8378 8400,"8,374.00",4.00,0.05,"8,357.38","8,155.75",Nov 04 2025 | 03:33 PM,"8,376.00","8,386.00","14,315"
Dhaniya,20-Jan-2026,"8,430.00",8262 8406 8432,"8,398.00",8.00,0.10,"8,372.50","8,155.75",Nov 04 2025 | 03:33 PM,"8,340.00","8,412.00",450
Dhaniya,20-Apr-2026,"8,850.00",8652 8760 8870,"8,834.00",-74.00,-0.84,"8,785.50","8,155.75",Nov 04 2025 | 03:33 PM,"8,760.00","8,800.00",280
Guar Gum,20-Nov-2025,"8,738.00",8680 8715 8772,"8,694.00",21.00,0.24,"8,724.37","8,859.55",Nov 04 2025 | 03:21 PM,"8,680.00","8,735.00","24,080"
Guar Gum,19-Dec-2025,"8,820.00",8791 8830 8887,"8,795.00",35.00,0.40,"8,838.10","8,859.55",Nov 04 2025 | 03:21 PM,"8,820.00","8,835.00","30,980"
Guar Gum,20-Jan-2026,"8,934.00",8933 8940 8940,"8,850.00",90.00,1.02,"8,936.00","8,859.55",Nov 04 2025 | 03:21 PM,0.00,"8,960.00",30
Guar seed,20-Nov-2025,"4,778.00",4747 4767 4791,"4,753.00",14.00,0.29,"4,770.94","4,788.70",Nov 04 2025 | 03:21 PM,"4,763.00","4,767.00","29,195"
Guar seed,19-Dec-2025,"4,852.00",4820 4845 4870,"4,828.00",17.00,0.35,"4,846.02","4,788.70",Nov 04 2025 | 03:21 PM,"4,840.00","4,847.00","36,990"
Jeera,20-Nov-2025,"20,410.00",20070 20240 20480,"20,340.00",-100.00,-0.49,"20,290.10","20,199.50",Nov 04 2025 | 03:10 PM,"20,155.00","20,250.00","2,643"
Jeera,19-Dec-2025,"20,600.00",20380 20530 20840,"20,675.00",-145.00,-0.70,"20,608.50","20,199.50",Nov 04 2025 | 03:10 PM,"20,455.00","20,550.00","1,386"
Kapas,30-Apr-2026,"1,560.00",1555 1555 1560,"1,530.00",25.00,1.63,"1,557.50","1,482.25",Nov 04 2025 | 04:26 PM,"1,546.00","1,556.00",134
Maize - Feed/Industrial Grade,19-Dec-2025,"1,953.00",1953 1953 1953,"1,925.00",28.00,1.45,"1,953.00","1,903.60",Nov 04 2025 | 03:25 PM,"1,915.00","1,950.00",10
Turmeric (Farmer Polished),18-Dec-2025,"14,482.00",14482 14600 14894,"14,674.00",-74.00,-0.50,"14,681.60","14,592.85",Nov 04 2025 | 03:12 PM,"14,580.00","14,618.00","11,700"
Turmeric (Farmer Polished),20-Apr-2026,"13,160.00",13128 13152 13358,"13,242.00",-90.00,-0.68,"13,240.10","14,592.85",Nov 04 2025 | 03:12 PM,"13,130.00","13,258.00","7,710"
Turmeric (Farmer Polished),20-May-2026,"13,220.00",12884 12884 13220,"12,998.00",-114.00,-0.88,"13,106.00","14,592.85",Nov 04 2025 | 03:12 PM,"12,920.00","13,250.00",340
